Border,Date,Measure,Value,Average
US-Canada Border,03/01/2013 12:00:00 AM,Pedestrians,19713,49706
US-Mexico Border,03/01/2013 12:00:00 AM,Buses,17877,20899
US-Canada Border,03/01/2013 12:00:00 AM,Train Passengers,15517,20325
US-Canada Border,03/01/2013 12:00:00 AM,Buses,6914,12318
US-Canada Border,03/01/2013 12:00:00 AM,Trains,2448,2599
US-Mexico Border,03/01/2013 12:00:00 AM,Trains,771,676
US-Mexico Border,03/01/2013 12:00:00 AM,Train Passengers,387,1096
US-Mexico Border,02/01/2013 12:00:00 AM,Personal Vehicle Passengers,8767637,15006580
US-Mexico Border,02/01/2013 12:00:00 AM,Personal Vehicles,4958117,6686639
US-Canada Border,02/01/2013 12:00:00 AM,Personal Vehicle Passengers,3836360,5890364
US-Mexico Border,02/01/2013 12:00:00 AM,Pedestrians,3249782,3748926
US-Canada Border,02/01/2013 12:00:00 AM,Personal Vehicles,2146613,2723513
US-Canada Border,02/01/2013 12:00:00 AM,Trucks,437245,519903
US-Mexico Border,02/01/2013 12:00:00 AM,Trucks,408669,370096
US-Canada Border,02/01/2013 12:00:00 AM,Truck Containers Full,315990,386554
US-Mexico Border,02/01/2013 12:00:00 AM,Truck Containers Full,283766,221938
US-Mexico Border,02/01/2013 12:00:00 AM,Bus Passengers,188305,262240
US-Mexico Border,02/01/2013 12:00:00 AM,Truck Containers Empty,123374,141250
US-Canada Border,02/01/2013 12:00:00 AM,Rail Containers Full,118728,99065
US-Canada Border,02/01/2013 12:00:00 AM,Bus Passengers,116814,302147
US-Canada Border,02/01/2013 12:00:00 AM,Truck Containers Empty,110879,76907
US-Canada Border,02/01/2013 12:00:00 AM,Rail Containers Empty,54584,38137
US-Mexico Border,02/01/2013 12:00:00 AM,Rail Containers Full,33885,23591
US-Mexico Border,02/01/2013 12:00:00 AM,Rail Containers Empty,29815,28142
US-Mexico Border,02/01/2013 12:00:00 AM,Buses,15579,20925
US-Canada Border,02/01/2013 12:00:00 AM,Pedestrians,11124,49895
US-Canada Border,02/01/2013 12:00:00 AM,Train Passengers,10598,20372
US-Canada Border,02/01/2013 12:00:00 AM,Buses,5814,12349
US-Canada Border,02/01/2013 12:00:00 AM,Trains,2113,2601
US-Mexico Border,02/01/2013 12:00:00 AM,Trains,700,676
US-Mexico Border,02/01/2013 12:00:00 AM,Train Passengers,324,1099
US-Mexico Border,01/01/2013 12:00:00 AM,Personal Vehicle Passengers,9764596,15032276
US-Mexico Border,01/01/2013 12:00:00 AM,Personal Vehicles,5359114,6693147
US-Canada Border,01/01/2013 12:00:00 AM,Personal Vehicle Passengers,3906127,5900091
US-Mexico Border,01/01/2013 12:00:00 AM,Pedestrians,3362923,3750818
US-Canada Border,01/01/2013 12:00:00 AM,Personal Vehicles,2231300,2725925
US-Canada Border,01/01/2013 12:00:00 AM,Trucks,468575,520155
US-Mexico Border,01/01/2013 12:00:00 AM,Trucks,428107,369811
US-Canada Border,01/01/2013 12:00:00 AM,Truck Containers Full,339226,386786
US-Mexico Border,01/01/2013 12:00:00 AM,Truck Containers Full,291529,221597
US-Mexico Border,01/01/2013 12:00:00 AM,Bus Passengers,254128,262280
US-Mexico Border,01/01/2013 12:00:00 AM,Truck Containers Empty,135411,141278
US-Canada Border,01/01/2013 12:00:00 AM,Rail Containers Full,128609,98920
US-Canada Border,01/01/2013 12:00:00 AM,Truck Containers Empty,120508,76693
US-Canada Border,01/01/2013 12:00:00 AM,Bus Passengers,110459,303087
US-Canada Border,01/01/2013 12:00:00 AM,Rail Containers Empty,55308,38052
US-Mexico Border,01/01/2013 12:00:00 AM,Rail Containers Empty,30884,28128
US-Mexico Border,01/01/2013 12:00:00 AM,Rail Containers Full,29064,23564
US-Mexico Border,01/01/2013 12:00:00 AM,Buses,17896,20939
US-Canada Border,01/01/2013 12:00:00 AM,Pedestrians,13201,50074
US-Canada Border,01/01/2013 12:00:00 AM,Train Passengers,11562,20415
US-Canada Border,01/01/2013 12:00:00 AM,Buses,6016,12380
US-Canada Border,01/01/2013 12:00:00 AM,Trains,2319,2602
US-Mexico Border,01/01/2013 12:00:00 AM,Trains,713,676
US-Mexico Border,01/01/2013 12:00:00 AM,Train Passengers,331,1103
US-Mexico Border,12/01/2012 12:00:00 AM,Personal Vehicle Passengers,10971293,15052281
US-Mexico Border,12/01/2012 12:00:00 AM,Personal Vehicles,5608850,6698488
US-Canada Border,12/01/2012 12:00:00 AM,Personal Vehicle Passengers,4847694,5905275
US-Mexico Border,12/01/2012 12:00:00 AM,Pedestrians,3923442,3749968
US-Canada Border,12/01/2012 12:00:00 AM,Personal Vehicles,2545279,2726815
US-Canada Border,12/01/2012 12:00:00 AM,Trucks,390438,520794
US-Mexico Border,12/01/2012 12:00:00 AM,Trucks,370217,369809
US-Canada Border,12/01/2012 12:00:00 AM,Truck Containers Full,287570,387275
US-Mexico Border,12/01/2012 12:00:00 AM,Bus Passengers,263620,262273
US-Mexico Border,12/01/2012 12:00:00 AM,Truck Containers Full,252068,221446
US-Canada Border,12/01/2012 12:00:00 AM,Bus Passengers,150095,303841
US-Canada Border,12/01/2012 12:00:00 AM,Rail Containers Full,119825,98817
US-Mexico Border,12/01/2012 12:00:00 AM,Truck Containers Empty,117512,141395
US-Canada Border,12/01/2012 12:00:00 AM,Truck Containers Empty,97013,76593
US-Canada Border,12/01/2012 12:00:00 AM,Rail Containers Empty,55917,37964
US-Mexico Border,12/01/2012 12:00:00 AM,Rail Containers Full,32588,23520
US-Mexico Border,12/01/2012 12:00:00 AM,Rail Containers Empty,30085,28119
US-Mexico Border,12/01/2012 12:00:00 AM,Buses,19805,20945
US-Canada Border,12/01/2012 12:00:00 AM,Pedestrians,16812,50238
US-Canada Border,12/01/2012 12:00:00 AM,Train Passengers,12525,20454
US-Canada Border,12/01/2012 12:00:00 AM,Buses,6354,12410
US-Canada Border,12/01/2012 12:00:00 AM,Trains,2272,2604
US-Mexico Border,12/01/2012 12:00:00 AM,Trains,743,676
US-Mexico Border,12/01/2012 12:00:00 AM,Train Passengers,309,1107
US-Mexico Border,11/01/2012 12:00:00 AM,Personal Vehicle Passengers,9662909,15078961
US-Mexico Border,11/01/2012 12:00:00 AM,Personal Vehicles,5295932,6705431
US-Canada Border,11/01/2012 12:00:00 AM,Personal Vehicle Passengers,4637052,5911553
US-Mexico Border,11/01/2012 12:00:00 AM,Pedestrians,3560048,3750908
US-Canada Border,11/01/2012 12:00:00 AM,Personal Vehicles,2539381,2727743
US-Canada Border,11/01/2012 12:00:00 AM,Trucks,471541,521038
US-Mexico Border,11/01/2012 12:00:00 AM,Trucks,427865,369522
US-Canada Border,11/01/2012 12:00:00 AM,Truck Containers Full,345745,387481
US-Mexico Border,11/01/2012 12:00:00 AM,Truck Containers Full,289178,221111
US-Mexico Border,11/01/2012 12:00:00 AM,Bus Passengers,217071,262497
US-Canada Border,11/01/2012 12:00:00 AM,Bus Passengers,153491,304585
US-Mexico Border,11/01/2012 12:00:00 AM,Truck Containers Empty,136586,141419
US-Canada Border,11/01/2012 12:00:00 AM,Rail Containers Full,123160,98697
US-Canada Border,11/01/2012 12:00:00 AM,Truck Containers Empty,118182,76387
US-Canada Border,11/01/2012 12:00:00 AM,Rail Containers Empty,57021,37870
US-Mexico Border,11/01/2012 12:00:00 AM,Rail Containers Full,34521,23465
US-Mexico Border,11/01/2012 12:00:00 AM,Rail Containers Empty,34006,28089
US-Canada Border,11/01/2012 12:00:00 AM,Pedestrians,18882,50394
US-Mexico Border,11/01/2012 12:00:00 AM,Buses,17715,20961
US-Canada Border,11/01/2012 12:00:00 AM,Train Passengers,11631,20498
US-Canada Border,11/01/2012 12:00:00 AM,Buses,6266,12441
US-Canada Border,11/01/2012 12:00:00 AM,Trains,2302,2605
US-Mexico Border,11/01/2012 12:00:00 AM,Trains,767,675
US-Mexico Border,11/01/2012 12:00:00 AM,Train Passengers,309,1111
US-Mexico Border,10/01/2012 12:00:00 AM,Personal Vehicle Passengers,9464353,15106894
US-Mexico Border,10/01/2012 12:00:00 AM,Personal Vehicles,5352562,6712162
US-Canada Border,10/01/2012 12:00:00 AM,Personal Vehicle Passengers,4864389,5916763
US-Mexico Border,10/01/2012 12:00:00 AM,Pedestrians,3400483,3752652
US-Canada Border,10/01/2012 12:00:00 AM,Personal Vehicles,2719680,2727783
US-Canada Border,10/01/2012 12:00:00 AM,Trucks,502667,521129
US-Mexico Border,10/01/2012 12:00:00 AM,Trucks,454930,369097
US-Canada Border,10/01/2012 12:00:00 AM,Truck Containers Full,318994,387821
US-Mexico Border,10/01/2012 12:00:00 AM,Truck Containers Full,305582,220691
US-Mexico Border,10/01/2012 12:00:00 AM,Bus Passengers,207629,262770
US-Canada Border,10/01/2012 12:00:00 AM,Bus Passengers,201843,305096
US-Mexico Border,10/01/2012 12:00:00 AM,Truck Containers Empty,155834,141348
US-Canada Border,10/01/2012 12:00:00 AM,Rail Containers Full,127877,98552
US-Canada Border,10/01/2012 12:00:00 AM,Truck Containers Empty,110149,76219
US-Canada Border,10/01/2012 12:00:00 AM,Rail Containers Empty,63205,37744
US-Canada Border,10/01/2012 12:00:00 AM,Pedestrians,40131,50445
US-Mexico Border,10/01/2012 12:00:00 AM,Rail Containers Empty,36325,28048
US-Mexico Border,10/01/2012 12:00:00 AM,Rail Containers Full,34383,23411
US-Mexico Border,10/01/2012 12:00:00 AM,Buses,17353,20979
US-Canada Border,10/01/2012 12:00:00 AM,Train Passengers,14967,20525
US-Canada Border,10/01/2012 12:00:00 AM,Buses,8351,12461
US-Canada Border,10/01/2012 12:00:00 AM,Trains,2477,2606
US-Mexico Border,10/01/2012 12:00:00 AM,Trains,806,675
US-Mexico Border,10/01/2012 12:00:00 AM,Train Passengers,293,1115
US-Mexico Border,09/01/2012 12:00:00 AM,Personal Vehicle Passengers,9270098,15136078
US-Canada Border,09/01/2012 12:00:00 AM,Personal Vehicle Passengers,5310244,5919795
US-Mexico Border,09/01/2012 12:00:00 AM,Personal Vehicles,5132479,6720060
US-Mexico Border,09/01/2012 12:00:00 AM,Pedestrians,3127024,3755780
US-Canada Border,09/01/2012 12:00:00 AM,Personal Vehicles,2903426,2726905
US-Canada Border,09/01/2012 12:00:00 AM,Trucks,457817,521446
US-Mexico Border,09/01/2012 12:00:00 AM,Trucks,392223,368981
US-Canada Border,09/01/2012 12:00:00 AM,Truck Containers Full,338751,388067
US-Mexico Border,09/01/2012 12:00:00 AM,Truck Containers Full,258742,220501
US-Canada Border,09/01/2012 12:00:00 AM,Bus Passengers,242833,305407
US-Mexico Border,09/01/2012 12:00:00 AM,Bus Passengers,194726,263110
US-Mexico Border,09/01/2012 12:00:00 AM,Truck Containers Empty,130496,141402
US-Canada Border,09/01/2012 12:00:00 AM,Rail Containers Full,119051,98449
US-Canada Border,09/01/2012 12:00:00 AM,Truck Containers Empty,98020,76110
US-Canada Border,09/01/2012 12:00:00 AM,Rail Containers Empty,59980,37633
US-Canada Border,09/01/2012 12:00:00 AM,Pedestrians,43962,50477
US-Mexico Border,09/01/2012 12:00:00 AM,Rail Containers Full,34167,23357
US-Mexico Border,09/01/2012 12:00:00 AM,Rail Containers Empty,32770,28025
US-Canada Border,09/01/2012 12:00:00 AM,Train Passengers,26716,20494
US-Mexico Border,09/01/2012 12:00:00 AM,Buses,16744,21000
US-Canada Border,09/01/2012 12:00:00 AM,Buses,10700,12470
US-Canada Border,09/01/2012 12:00:00 AM,Trains,2350,2607
US-Mexico Border,09/01/2012 12:00:00 AM,Trains,733,674
US-Mexico Border,09/01/2012 12:00:00 AM,Train Passengers,219,1119
US-Mexico Border,08/01/2012 12:00:00 AM,Personal Vehicle Passengers,9778573,15163000
US-Canada Border,08/01/2012 12:00:00 AM,Personal Vehicle Passengers,7593334,5911386
US-Mexico Border,08/01/2012 12:00:00 AM,Personal Vehicles,5326689,6727062
US-Canada Border,08/01/2012 12:00:00 AM,Personal Vehicles,3677389,2722129
US-Mexico Border,08/01/2012 12:00:00 AM,Pedestrians,3309013,3758025
US-Canada Border,08/01/2012 12:00:00 AM,Trucks,497866,521564
US-Mexico Border,08/01/2012 12:00:00 AM,Trucks,442540,368612
US-Canada Border,08/01/2012 12:00:00 AM,Truck Containers Full,335555,388331
US-Canada Border,08/01/2012 12:00:00 AM,Bus Passengers,301059,305429
US-Mexico Border,08/01/2012 12:00:00 AM,Truck Containers Full,292515,220139
US-Mexico Border,08/01/2012 12:00:00 AM,Bus Passengers,287795,262986
US-Mexico Border,08/01/2012 12:00:00 AM,Truck Containers Empty,150948,141354
US-Canada Border,08/01/2012 12:00:00 AM,Truck Containers Empty,129220,75844
US-Canada Border,08/01/2012 12:00:00 AM,Rail Containers Full,121787,98332
US-Canada Border,08/01/2012 12:00:00 AM,Pedestrians,67652,50391
US-Canada Border,08/01/2012 12:00:00 AM,Rail Containers Empty,62271,37509
US-Canada Border,08/01/2012 12:00:00 AM,Train Passengers,43280,20380
US-Mexico Border,08/01/2012 12:00:00 AM,Rail Containers Full,35197,23297
US-Mexico Border,08/01/2012 12:00:00 AM,Rail Containers Empty,33860,27995
US-Mexico Border,08/01/2012 12:00:00 AM,Buses,18773,21011
US-Canada Border,08/01/2012 12:00:00 AM,Buses,12710,12468
US-Canada Border,08/01/2012 12:00:00 AM,Trains,2476,2608
US-Mexico Border,08/01/2012 12:00:00 AM,Trains,738,674
US-Mexico Border,08/01/2012 12:00:00 AM,Train Passengers,223,1124
US-Mexico Border,07/01/2012 12:00:00 AM,Personal Vehicle Passengers,10077726,15188684
US-Canada Border,07/01/2012 12:00:00 AM,Personal Vehicle Passengers,7044719,5905662
US-Mexico Border,07/01/2012 12:00:00 AM,Personal Vehicles,5228717,6734630
US-Canada Border,07/01/2012 12:00:00 AM,Personal Vehicles,3503557,2718182
US-Mexico Border,07/01/2012 12:00:00 AM,Pedestrians,3381367,3759927
US-Canada Border,07/01/2012 12:00:00 AM,Trucks,455751,521897
US-Mexico Border,07/01/2012 12:00:00 AM,Trucks,416027,368372
US-Canada Border,07/01/2012 12:00:00 AM,Truck Containers Full,328261,388634
US-Mexico Border,07/01/2012 12:00:00 AM,Bus Passengers,322510,262685
US-Mexico Border,07/01/2012 12:00:00 AM,Truck Containers Full,271996,219877
US-Canada Border,07/01/2012 12:00:00 AM,Bus Passengers,264921,305634
US-Mexico Border,07/01/2012 12:00:00 AM,Truck Containers Empty,140223,141360
US-Canada Border,07/01/2012 12:00:00 AM,Truck Containers Empty,123163,75605
US-Canada Border,07/01/2012 12:00:00 AM,Rail Containers Full,116170,98242
US-Canada Border,07/01/2012 12:00:00 AM,Pedestrians,66543,50309
US-Canada Border,07/01/2012 12:00:00 AM,Rail Containers Empty,64294,37374
US-Canada Border,07/01/2012 12:00:00 AM,Train Passengers,42167,20270
US-Mexico Border,07/01/2012 12:00:00 AM,Rail Containers Empty,35439,27958
US-Mexico Border,07/01/2012 12:00:00 AM,Rail Containers Full,33363,23247
US-Mexico Border,07/01/2012 12:00:00 AM,Buses,18652,21023
US-Canada Border,07/01/2012 12:00:00 AM,Buses,11984,12471
US-Canada Border,07/01/2012 12:00:00 AM,Trains,2394,2609
US-Mexico Border,07/01/2012 12:00:00 AM,Trains,757,674
US-Mexico Border,07/01/2012 12:00:00 AM,Train Passengers,297,1128
US-Mexico Border,06/01/2012 12:00:00 AM,Personal Vehicle Passengers,9166429,15219253
US-Canada Border,06/01/2012 12:00:00 AM,Personal Vehicle Passengers,5585380,5907288
US-Mexico Border,06/01/2012 12:00:00 AM,Personal Vehicles,5027232,6743297
US-Mexico Border,06/01/2012 12:00:00 AM,Pedestrians,3194593,3762797
US-Canada Border,06/01/2012 12:00:00 AM,Personal Vehicles,3007378,2716714
US-Canada Border,06/01/2012 12:00:00 AM,Trucks,481397,522102
US-Mexico Border,06/01/2012 12:00:00 AM,Trucks,430283,368058
US-Canada Border,06/01/2012 12:00:00 AM,Truck Containers Full,347573,388842
US-Mexico Border,06/01/2012 12:00:00 AM,Truck Containers Full,292163,219510
US-Canada Border,06/01/2012 12:00:00 AM,Bus Passengers,260624,305862
US-Mexico Border,06/01/2012 12:00:00 AM,Bus Passengers,228291,262860
US-Mexico Border,06/01/2012 12:00:00 AM,Truck Containers Empty,134687,141393
US-Canada Border,06/01/2012 12:00:00 AM,Rail Containers Full,121490,98124
US-Canada Border,06/01/2012 12:00:00 AM,Truck Containers Empty,115472,75402
US-Canada Border,06/01/2012 12:00:00 AM,Rail Containers Empty,61713,37250
US-Canada Border,06/01/2012 12:00:00 AM,Pedestrians,45985,50331
US-Mexico Border,06/01/2012 12:00:00 AM,Rail Containers Full,36304,23180
US-Canada Border,06/01/2012 12:00:00 AM,Train Passengers,34285,20199
US-Mexico Border,06/01/2012 12:00:00 AM,Rail Containers Empty,33442,27930
US-Mexico Border,06/01/2012 12:00:00 AM,Buses,17874,21039
US-Canada Border,06/01/2012 12:00:00 AM,Buses,12065,12473
US-Canada Border,06/01/2012 12:00:00 AM,Trains,2379,2610
US-Mexico Border,06/01/2012 12:00:00 AM,Trains,742,673
US-Mexico Border,06/01/2012 12:00:00 AM,Train Passengers,295,1132
US-Mexico Border,05/01/2012 12:00:00 AM,Personal Vehicle Passengers,9456442,15248656
US-Mexico Border,05/01/2012 12:00:00 AM,Personal Vehicles,5267639,6750826
US-Canada Border,05/01/2012 12:00:00 AM,Personal Vehicle Passengers,5048697,5911668
US-Mexico Border,05/01/2012 12:00:00 AM,Pedestrians,3421853,3764536
US-Canada Border,05/01/2012 12:00:00 AM,Personal Vehicles,2779147,2716396
US-Canada Border,05/01/2012 12:00:00 AM,Trucks,505616,522186
US-Mexico Border,05/01/2012 12:00:00 AM,Trucks,460181,367588
US-Canada Border,05/01/2012 12:00:00 AM,Truck Containers Full,376336,388906
US-Mexico Border,05/01/2012 12:00:00 AM,Truck Containers Full,322166,218986
US-Canada Border,05/01/2012 12:00:00 AM,Bus Passengers,256879,306112
US-Mexico Border,05/01/2012 12:00:00 AM,Bus Passengers,222990,263063
US-Mexico Border,05/01/2012 12:00:00 AM,Truck Containers Empty,135225,141425
US-Canada Border,05/01/2012 12:00:00 AM,Rail Containers Full,112210,98052
US-Canada Border,05/01/2012 12:00:00 AM,Truck Containers Empty,112198,75214
US-Canada Border,05/01/2012 12:00:00 AM,Rail Containers Empty,59768,37135
US-Mexico Border,05/01/2012 12:00:00 AM,Rail Containers Empty,40321,27867
US-Canada Border,05/01/2012 12:00:00 AM,Pedestrians,39073,50389
US-Mexico Border,05/01/2012 12:00:00 AM,Rail Containers Full,33681,23127
US-Canada Border,05/01/2012 12:00:00 AM,Train Passengers,26609,20166
US-Mexico Border,05/01/2012 12:00:00 AM,Buses,17687,21056
US-Canada Border,05/01/2012 12:00:00 AM,Buses,11022,12480
US-Canada Border,05/01/2012 12:00:00 AM,Trains,2274,2612
US-Mexico Border,05/01/2012 12:00:00 AM,Trains,760,673
US-Mexico Border,05/01/2012 12:00:00 AM,Train Passengers,296,1137
US-Mexico Border,04/01/2012 12:00:00 AM,Personal Vehicle Passengers,9590563,15277671
US-Mexico Border,04/01/2012 12:00:00 AM,Personal Vehicles,5114847,6759215
US-Canada Border,04/01/2012 12:00:00 AM,Personal Vehicle Passengers,4692746,5917919
US-Mexico Border,04/01/2012 12:00:00 AM,Pedestrians,3436099,3766221
US-Canada Border,04/01/2012 12:00:00 AM,Personal Vehicles,2550693,2717245
US-Canada Border,04/01/2012 12:00:00 AM,Trucks,471380,522447
US-Mexico Border,04/01/2012 12:00:00 AM,Trucks,417881,367330
US-Canada Border,04/01/2012 12:00:00 AM,Truck Containers Full,353903,389086
US-Mexico Border,04/01/2012 12:00:00 AM,Truck Containers Full,285750,218644
US-Mexico Border,04/01/2012 12:00:00 AM,Bus Passengers,244130,263160
US-Canada Border,04/01/2012 12:00:00 AM,Bus Passengers,196782,306673
US-Mexico Border,04/01/2012 12:00:00 AM,Truck Containers Empty,122607,141521
US-Canada Border,04/01/2012 12:00:00 AM,Rail Containers Full,120192,97938
US-Canada Border,04/01/2012 12:00:00 AM,Truck Containers Empty,98048,75097
US-Canada Border,04/01/2012 12:00:00 AM,Rail Containers Empty,59624,37020
US-Mexico Border,04/01/2012 12:00:00 AM,Rail Containers Empty,40459,27802
US-Mexico Border,04/01/2012 12:00:00 AM,Rail Containers Full,32577,23078
US-Canada Border,04/01/2012 12:00:00 AM,Pedestrians,22216,50533
US-Mexico Border,04/01/2012 12:00:00 AM,Buses,17291,21076
US-Canada Border,04/01/2012 12:00:00 AM,Train Passengers,16398,20185
US-Canada Border,04/01/2012 12:00:00 AM,Buses,8076,12503
US-Canada Border,04/01/2012 12:00:00 AM,Trains,2813,2611
US-Mexico Border,04/01/2012 12:00:00 AM,Trains,761,672
US-Mexico Border,04/01/2012 12:00:00 AM,Train Passengers,289,1141
US-Mexico Border,03/01/2012 12:00:00 AM,Personal Vehicle Passengers,9470678,15307604
US-Mexico Border,03/01/2012 12:00:00 AM,Personal Vehicles,5279998,6766840
US-Canada Border,03/01/2012 12:00:00 AM,Personal Vehicle Passengers,4787539,5923746
US-Mexico Border,03/01/2012 12:00:00 AM,Pedestrians,3649248,3766824
US-Canada Border,03/01/2012 12:00:00 AM,Personal Vehicles,2549752,2718109
